video_id,group,topic,title,description,tags,category_id,published_at,duration,view_count,like_count,comment_count,duration_sec,tags_parsed
LR3AaGdesgA,Game,LoL,The 2025 World Championship Finals,"The shadow of the Telecom Wars comes to light in Chengdu for the 2025 Worlds Championship Final ? and destiny is on the line for T1 and KT Rolster.

The greatest organization to ever play League of Legends faces their regional rivals, KT. Many consider Bdd to be the best mid laner in the world, while Faker is simply the greatest player ever to grace an esports stage. Will current form outplay the GOAT, or will poise and the ability to perform on the grandest stage rise above all? 

Four consecutive finals meet the first of a career.

15 Years of Legacy.
15 Years of Sacrifice.

One team will lift the Summoner’s Cup. The other will be left wondering what went wrong ? and when, if ever, they’ll have another chance at legacy.

Your Worlds 2025 Finalists:
KT Rolster 
Top Lane: PerfecT
Jungle: Cuzz
Mid Lane: Bdd
ADC: Deokdam
Support: Peter

T1
Top Lane: Doran
Jungle: Oner
Mid Lane: Faker
ADC: Gumayusi
Support: Keria

Worlds 2025. Earn your legacy.

Play-Ins: Oct 14 
Swiss Stage: Oct 15 - 25
Knockout Stage: Oct 28 - Nov 2
Grand Final & Opening Ceremony: Nov 9

Web: http://lolesports.com
X: http://twitter.com/lolesports
Facebook: http://facebook.com/lolesports
Instagram: http://instagram.com/lolesports
TikTok: https://www.tiktok.com/@lolesports
Meta Threads: https://www.threads.net/@lolesports
Whatsapp: https://whatsapp.com/channel/0029VaoX…
Download League of Legends now: http://leagueoflegends.com/download",KT|T1|Faker|Bdd|Worlds 2025 Semifinals|League of Legends|LoL Esports|Worlds 2025 Highlights|T1 vs KT|Worlds Finals|Telecom Wars|KT Rolster vs T1|Faker highlights|Bdd highlights|Keria|Gumayusi|Oner|Doran|League of Legends Worlds|Worlds 2025 hype|esports highlights|League highlights|Worlds finals|LoL worlds|earn your legacy|PerfecT|Cuzz|Deokdam|Peter,20,2025-11-09T04:06:06Z,PT7M24S,1019988,34588,2709,444,KT T1 Faker Bdd Worlds 2025 Semifinals League of Legends LoL Esports Worlds 2025 Highlights T1 vs KT Worlds Finals Telecom Wars KT Rolster vs T1 Faker highlights Bdd highlights Keria Gumayusi Oner Doran League of Legends Worlds Worlds 2025 hype esports highlights League highlights Worlds finals LoL worlds earn your legacy PerfecT Cuzz Deokdam Peter
ndkjasne_iw,Game,LoL,DK vs T1 하이라이트 | Losers Finals | 2025 LoL KeSPA CUP,"* 경기별 다시보기는 디즈니+에서 시청 하실 수 있습니다.
* Replay of each games are available to watch on Disney+

풍성한 연말을 위해 2025 LoL KeSPA CUP이 이스포츠 팬 여러분을 찾아갑니다!??

비시즌에 진행되는 국내 유일 리그 오브 레전드 단기 컵대회?
놓치지 말고 디즈니+에서 라이브 스트리밍으로 만나보세요!

To make your end of 2025 even more exciting, the 2025 LoL KeSPA CUP is back!
One of the most exciting League of Legends Tournaments you should not miss during the off-season period!
2025 LoL KeSPA CUP is live exclusively on Disney+

?? 경기 일정 / Match Schedule
- 예선 (Group Stage): 12/6(토/Sat) ~ 12/8(월/Mon)
- 본선 (LCQ): 12/9(화/Tue)
- 결선 (Final Stage): 12/11(목/Thu) ~ 12/14(일/Sun)

?? 2025 LoL KeSPA CUP은 디즈니+에서 글로벌 생중계 됩니다.

The global streaming of the 2025 LoL KeSPA CUP is only available on Disney+.

? KeSPA 공식 SNS
- KeSPA 공식 X: https://x.com/kespa
- KeSPA 공식 인스타그램: https://instagram.com/koreaesports
- KeSPA 공식 페이스북: https://facebook.com/koreaesports

#KeSPACUP #케스파컵 #이스포츠",LoL|리그오브레전드|LCK|e스포츠|eSports|BNK|BNK 피어엑스|BNK FEARX|비엔케이|비엔케이 피어엑스|DK|Dplus Kia|DWG KIA|DAMWON KIA|담원|담원 기아|디플러스|디플러스 기아|DNF|DN FREECS|디엔 프릭스|DRX|디알엑스|GEN|Gen.G|젠지|HLE|Hanwha Life Esports|한화생명|한화생명e스포츠|KT|kt Rolster|kt 롤스터|케이티|케이티 롤스터|BRO|브리온|OK저축은행 브리온|OKSavingsBank BRION|NS|NONGSHIM|NS RedForce|농심|농심 레드포스|T1|티원|Cloud 9|클라우드나인|C9|팀리퀴드|TL|Team Liquid|베트남|Vietnam|일본|Japan|디즈니|디즈니 플러스|Disney Plus,20,2025-12-13T13:56:52Z,PT49M4S,2061673,16627,5357,2944,LoL 리그오브레전드 LCK e스포츠 eSports BNK BNK 피어엑스 BNK FEARX 비엔케이 비엔케이 피어엑스 DK Dplus Kia DWG KIA DAMWON KIA 담원 담원 기아 디플러스 디플러스 기아 DNF DN FREECS 디엔 프릭스 DRX 디알엑스 GEN Gen.G 젠지 HLE Hanwha Life Esports 한화생명 한화생명e스포츠 KT kt Rolster kt 롤스터 케이티 케이티 롤스터 BRO 브리온 OK저축은행 브리온 OKSavingsBank BRION NS NONGSHIM NS RedForce 농심 농심 레드포스 T1 티원 Cloud 9 클라우드나인 C9 팀리퀴드 TL Team Liquid 베트남 Vietnam 일본 Japan 디즈니 디즈니 플러스 Disney Plus
ltnKSK8DhDE,Game,LoL,"단 한판으로 보여주는 ""리그 오브 레전드""","─────────────▼─읽어주세요─▼────────────────
챌린저 정글러 저라뎃의 저튜브에 오신 것을 환영합니다!
구독과 알람설정, 좋아요를 꼭 눌러주세요^^
─────────────────────────────────────────
SOOP 생방송▷ https://goo.gl/jtMm4u
아웃트로 BGM ▷ NEFFEX - Careless ?? [Copyright Free]
─────────────────────────────────────────
광고, 협찬 및 모든 문의는 아래 메일로 보내주세요, 감사합니다!
starfish@starfishentertainment.co.kr",천상계|챌린저|정글러|저라뎃|Justlikethat|정글|동선|강의|교육방송|롤토체스,20,2026-01-20T15:12:50Z,PT29M57S,137363,720,219,1797,천상계 챌린저 정글러 저라뎃 Justlikethat 정글 동선 강의 교육방송 롤토체스
uGVr9D3YA_Y,Game,LoL,"【롤드컵 8강전 T1 vs AL】"" 마음을 불태워라, 우린 T1이다 ""","- 길게 보는 이상호 채널!
https://www.youtube.com/channel/UCVjpScoV0uW8-nnFApUeMDQ

- BGM 브금대통령
https://www.youtube.com/user/GwooA

[ 여러분의 구독, 좋아요, 댓글은 큰 힘이 됩니다! ]

- 이상호 생방송: http://afreecatv.com/lshooooo
- 이상호 인스타그램 : https://goo.gl/I00Hk1
- 광고 및 문의 : creators@iambrand.co.kr

0:00~0:25 인트로
0:25~6:13 티저 반응
6:13~7:42 1세트 밴픽
7:42~12:28 1세트
12:28~13:00 2세트 밴픽
13:00~19:10 2세트
19:10~20:06 3세트 밴픽
20:06~28:32 3세트
28:32~29:05 4세트 밴픽
29:05~38:08 4세트
38:08~38:44 5세트 밴픽
38:44~49:26 5세트",이상호|피파4|피파온라인4|FIFA|FIFA 온라인 4|이상호 피파|FC온라인,20,2025-10-31T13:00:58Z,PT49M39S,1038425,10420,918,2979,이상호 피파4 피파온라인4 FIFA FIFA 온라인 4 이상호 피파 FC온라인
G1UYNG12xVM,Game,LoL,롤 세계관 속 '국가권력급' 챔피언들 #shorts,"#shorts #롤 #챔피언

※롤과 관련된 궁금한 점이 있으시면 언제든 댓글로 남겨주세요※",롤|League of Legends|lol|리그오브레전드|라이엇|팀운|신챔|정글|픽률 낮은|픽률 낮은 챔피언|고인 챔피언|롤 신챔|롤 챔피언|아트록스|초월체|롤 초월체|아지르|레넥톤|나서스|제라스|국가권력급|국가권력급 챔피언|롤 최강자|아우솔|바드,20,2024-06-25T09:00:20Z,PT55S,968552,20741,345,55,롤 League of Legends lol 리그오브레전드 라이엇 팀운 신챔 정글 픽률 낮은 픽률 낮은 챔피언 고인 챔피언 롤 신챔 롤 챔피언 아트록스 초월체 롤 초월체 아지르 레넥톤 나서스 제라스 국가권력급 국가권력급 챔피언 롤 최강자 아우솔 바드
l5RFml3hSQM,Game,LoL,[LOL] 프레이 이즈리얼 : 완전 새로운 게임이 된 새 시즌,"*리그오브레전드 프로게이머 프레이의 공식채널입니다.
*유튜브 영상은 공유하기로 퍼가셔도 됩니다.
*재밌게 보고 많이 퍼 가주세요!? 좋아요도 부탁드립니다.!
?
[ 방송 스트리밍 주소 Stream Link ]
? SOOP ◆ https://ch.sooplive.co.kr/pig2704 [생방송 : 20260108)
? Youtube Channel ◆??? / @pray94 
?
[프로게이머 & 장인 닉네임]
우리팀 : i kid(i kid)
상대팀 : jugtao(tao), 命定之死(花垣)",LOL|리그오브레전드|프레이|프쨩|프짱|Pray|pray|Longzhu|Kz PraY|King Zone Dragon X,20,2026-01-09T08:01:02Z,PT33M15S,107101,481,50,1995,LOL 리그오브레전드 프레이 프쨩 프짱 Pray pray Longzhu Kz PraY King Zone Dragon X
XRgVmbQ5EPc,Game,LoL,뷰어십의 악마 | T1 vs KT 게임 2 하이라이트 | 2026 LCK CUP,"#LCK #ForOneLegacy #2026LCKCUP

? LIVE & LIVE VOD
- LoL e스포츠 홈페이지:  https://lolesports.com/
- 치지직: https://m.site.naver.com/1Z0Bn
- SOOP: https://ch.sooplive.co.kr/aflol

? LCK 채널 구독 및 좋아요!
- LCK 공식 페이스북:  https://www.facebook.com/officiallck
- LCK 공식 인스타그램:  https://www.instagram.com/lckofficial/
- LCK 공식 틱톡 : https://tiktok.com/@lck_official
- LCK 공식 트위터 (영문):  https://twitter.com/LCK

* LCK 채널의 모든 영상은 라이엇 게임즈 코리아의 자산으로, 본 콘텐츠를 무단 복제, 도용하거나 상업적으로 이용하는 행위는 금지되며 이를 위반할 경우 관련법에 의거 법적 처벌을 받을 수 있음을 알려드립니다.",LCK|LCK Korea|롤챔스|리그오브레전드|LoL|티원|에욱|SNL|LCK썸네일|편집자|스크|T1|SKT|skt|t1|썸네일|DK|GEN|DRX|KT|HLE|POG|MVP|WORLDS|롤드컵|MSI|ALLSTAR|lck 서머|lck 썸머|lck 써머|lck 스프링|lck summer|lck spring|LSB|NS|한화생명|농심|케이티|젠지|아프리카|담원|브리온|Brion|BRO|므시|올스타|매드무비|위클리 코맨터리|MIC Check|MIC 첵|롤분토론|동준좌|클템|성캐|위클리 매드무비|전프시|오프더레코드|월드챔피언십|단톡|롤더넥|마이크체크|베스트모먼트|롤리나잇|성캐쇼|혓바닥터스|헬리오스|캡틴잭|빠른별|샤이|디플러스 기아|디플|플레임|시크릿보드룸|단군|꼬꼬갓|고수진|배혜지|함예진|윤수빈|노페|후니|박진영|마이크|롤즈|위클리|롤하이라이트|DNF|DN Freecs|디엔프릭스|든프|프린스|BFX|BNK FearX|분석데스크|이은빈,20,2026-01-24T10:15:00Z,PT15M13S,632473,0,733,913,LCK LCK Korea 롤챔스 리그오브레전드 LoL 티원 에욱 SNL LCK썸네일 편집자 스크 T1 SKT skt t1 썸네일 DK GEN DRX KT HLE POG MVP WORLDS 롤드컵 MSI ALLSTAR lck 서머 lck 썸머 lck 써머 lck 스프링 lck summer lck spring LSB NS 한화생명 농심 케이티 젠지 아프리카 담원 브리온 Brion BRO 므시 올스타 매드무비 위클리 코맨터리 MIC Check MIC 첵 롤분토론 동준좌 클템 성캐 위클리 매드무비 전프시 오프더레코드 월드챔피언십 단톡 롤더넥 마이크체크 베스트모먼트 롤리나잇 성캐쇼 혓바닥터스 헬리오스 캡틴잭 빠른별 샤이 디플러스 기아 디플 플레임 시크릿보드룸 단군 꼬꼬갓 고수진 배혜지 함예진 윤수빈 노페 후니 박진영 마이크 롤즈 위클리 롤하이라이트 DNF DN Freecs 디엔프릭스 든프 프린스 BFX BNK FearX 분석데스크 이은빈
cFVGiyXbJSo,Game,LoL,아 롤망함,아 롤망함,LOL|lol|리그오브레전드|엘오엘|스킬|장인|롤 패치|롤 패치노트|롤박사 해도리|해도리|pbe|pbe 패치노트|리메이크|롤 pbe 패치노트|롤 매드무비|lck|롤챔스|페이커|롤드컵|원딜|롤 배치|롤 랭크|롤 강의|롤 영상|T1|프리시즌|롤 프리시즌|신챔|신챔프|롤 스몰더|롤 시즌|롤 아이템|롤 대격변|롤 스플릿|롤 새시즌|롤 데마시아|롤 데마시아 시즌|롤 26시즌|롤 신템|해도리 데마시아|해도리 다음시즌|롤 다음시즌|26.1 패치|롤 26.1 패치|롤 26.1 패치노트|롤 배치고사|롤 버그|구원 버그|롤 구원 버그|해도리 구원|해도리 버그,20,2026-01-18T22:20:24Z,PT1M16S,287628,2856,872,76,LOL lol 리그오브레전드 엘오엘 스킬 장인 롤 패치 롤 패치노트 롤박사 해도리 해도리 pbe pbe 패치노트 리메이크 롤 pbe 패치노트 롤 매드무비 lck 롤챔스 페이커 롤드컵 원딜 롤 배치 롤 랭크 롤 강의 롤 영상 T1 프리시즌 롤 프리시즌 신챔 신챔프 롤 스몰더 롤 시즌 롤 아이템 롤 대격변 롤 스플릿 롤 새시즌 롤 데마시아 롤 데마시아 시즌 롤 26시즌 롤 신템 해도리 데마시아 해도리 다음시즌 롤 다음시즌 26.1 패치 롤 26.1 패치 롤 26.1 패치노트 롤 배치고사 롤 버그 구원 버그 롤 구원 버그 해도리 구원 해도리 버그
rIrPzIHcHrY,Game,LoL,게임으로 자존심 긁히면 찐텐 나오는 친구들끼리 상금 걸고 영혼의 대결하기ㅋㅋㅋㅋㅋ(롤 편),"롤 토너먼트!!!!!!!!!!!!!

돌잼 구독!! 좋아요!! 알림on!!
★인스타★
https://www.instagram.com/dolzam_official  돌잼공식 dolzam_official
https://www.instagram.com/kdohzz     김도혁 kdohzz 
https://www.instagram.com/_kangjin   강진우 _kangjin 
https://www.instagram.com/mcjihwan 오지환 mcjihwan

페이스북
https://www.facebook.com/dolzam/

틱톡
https://www.tiktok.com/@doljam

모든 문의는 아래 메일로 보내주세요!!
rlaehgur1217@gmail.com

#돌잼 #롤 #대결 #리그오브레전드 #토너먼트 #게임 #예능 
 #youtube #youtubeshorts #english",돌잼|돌잼패러디|보물섬|더블비|싱호|레이디액션|웃긴영상|재밌는영상|패러디|패러디레전드|웃긴영상레전드|개그|유머|또라이|돌아이|재미|레전드|웃긴|러블리|사랑|호감|일상|몰카|몰래카메라|삼프로|보따|투빡|참교육|친구|장난|송대익|강진우|김도혁|오지환|보겸|감스트|임다|철구|윽박|슈기|장삐쭈|와썹맨|비제이|급식왕|웃쏘|흔한남매|워크맨|배꼽빌라|동네놈들|무한도전|장난전화|랜덤|개그맨|자존심|웃기기|youtube|english|비슷해보이즈|bts|sbs|kbs|mbc|방탄소년단|24시간|48시간|파뿌리|핫소스|핫도그|쏘대장|아프리카|bj|아프리카tv|틱톡|트위치|먹방|쿡방|겜방|게임|피파|피파모바일|피파온라인4|숏박스|메타코미디|넷플릭스|디지니플러스|티핑|쿠팡플레이|에스엔엘|별놈들|문돼|메타코미디클럽|피식대학|빵송국|스낵타운|롤|리그오브레전드|대결,20,2024-06-02T07:45:04Z,PT18M39S,557282,3268,337,1119,돌잼 돌잼패러디 보물섬 더블비 싱호 레이디액션 웃긴영상 재밌는영상 패러디 패러디레전드 웃긴영상레전드 개그 유머 또라이 돌아이 재미 레전드 웃긴 러블리 사랑 호감 일상 몰카 몰래카메라 삼프로 보따 투빡 참교육 친구 장난 송대익 강진우 김도혁 오지환 보겸 감스트 임다 철구 윽박 슈기 장삐쭈 와썹맨 비제이 급식왕 웃쏘 흔한남매 워크맨 배꼽빌라 동네놈들 무한도전 장난전화 랜덤 개그맨 자존심 웃기기 youtube english 비슷해보이즈 bts sbs kbs mbc 방탄소년단 24시간 48시간 파뿌리 핫소스 핫도그 쏘대장 아프리카 bj 아프리카tv 틱톡 트위치 먹방 쿡방 겜방 게임 피파 피파모바일 피파온라인4 숏박스 메타코미디 넷플릭스 디지니플러스 티핑 쿠팡플레이 에스엔엘 별놈들 문돼 메타코미디클럽 피식대학 빵송국 스낵타운 롤 리그오브레전드 대결
pMBE5-Zfjjw,Game,LoL,[데마시아를 위하여] 2026 시즌 오프닝,"#LCK #ForOneLegacy #2026시즌오프닝

? LIVE & LIVE VOD
- LoL e스포츠 홈페이지:  https://lolesports.com/
- 치지직: https://m.site.naver.com/1Z0Bn
- SOOP: https://ch.sooplive.co.kr/aflol

? LCK 채널 구독 및 좋아요!
- LCK 공식 페이스북:  https://www.facebook.com/officiallck
- LCK 공식 인스타그램:  https://www.instagram.com/lckofficial/
- LCK 공식 틱톡 : https://tiktok.com/@lck_official
- LCK 공식 트위터 (영문):  https://twitter.com/LCK

* LCK 채널의 모든 영상은 라이엇 게임즈 코리아의 자산으로, 본 콘텐츠를 무단 복제, 도용하거나 상업적으로 이용하는 행위는 금지되며 이를 위반할 경우 관련법에 의거 법적 처벌을 받을 수 있음을 알려드립니다.",LCK|LCK Korea|롤챔스|티원|에욱|SNL|LCK썸네일|편집자|스크|T1|SKT|skt|t1|썸네일|DK|GEN|DRX|KT|HLE|POG|MVP|WORLDS|롤드컵|MSI|ALLSTAR|lck 서머|lck 썸머|lck 써머|lck 스프링|lck summer|lck spring|LSB|NS|한화생명|농심|케이티|젠지|아프리카|담원|브리온|Brion|BRO|므시|올스타|매드무비|위클리 코맨터리|MIC Check|MIC 첵|롤분토론|동준좌|클템|성캐|위클리 매드무비|전프시|오프더레코드|월드챔피언십|단톡|롤더넥|마이크체크|광동|광동프릭스|KDF|Kwangdong Freecs|베스트모먼트|롤리나잇|레알클래스|성캐쇼|LCK10주년|혓바닥터스|헬리오스|캡틴잭|빠른별|샤이|리브샌박|디플러스 기아|디플|플레임|시크릿보드룸|단군|리뷰데스크|포니|꼬꼬갓|고수진|배혜지|함예진|윤수빈|2023LCK|2023롤챔스|노페|후니|박진영,20,2026-01-09T14:03:15Z,PT5H37M40S,1265571,0,140,20260,LCK LCK Korea 롤챔스 티원 에욱 SNL LCK썸네일 편집자 스크 T1 SKT skt t1 썸네일 DK GEN DRX KT HLE POG MVP WORLDS 롤드컵 MSI ALLSTAR lck 서머 lck 썸머 lck 써머 lck 스프링 lck summer lck spring LSB NS 한화생명 농심 케이티 젠지 아프리카 담원 브리온 Brion BRO 므시 올스타 매드무비 위클리 코맨터리 MIC Check MIC 첵 롤분토론 동준좌 클템 성캐 위클리 매드무비 전프시 오프더레코드 월드챔피언십 단톡 롤더넥 마이크체크 광동 광동프릭스 KDF Kwangdong Freecs 베스트모먼트 롤리나잇 레알클래스 성캐쇼 LCK10주년 혓바닥터스 헬리오스 캡틴잭 빠른별 샤이 리브샌박 디플러스 기아 디플 플레임 시크릿보드룸 단군 리뷰데스크 포니 꼬꼬갓 고수진 배혜지 함예진 윤수빈 2023LCK 2023롤챔스 노페 후니 박진영
